Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify ""Address"" field values appears the same as while creation of record on during modification by default.",AF-78,10106,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:05 AM,08/Sep/21 6:25 PM,08/Sep/21 6:09 AM,08/Sep/21 6:25 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000mn:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Company"" and ""Website"" number should be saved and the changed value are reflected in the Affiliate list.",AF-77,10105,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:58 AM,08/Sep/21 6:30 PM,08/Sep/21 6:06 AM,08/Sep/21 6:30 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000mf:,,AF Sprint 1,,,,,,,,Done
"Verify ""Company"" and ""Website"" field values appears the same as while creation of record on during modification by default.",AF-76,10104,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:56 AM,08/Sep/21 6:30 PM,08/Sep/21 6:05 AM,08/Sep/21 6:30 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000m7:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Fax"" and ""Tracking code"" number should be saved and the changed value are reflected in the Affiliate list.",AF-75,10103,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:51 AM,08/Sep/21 6:30 PM,08/Sep/21 5:57 AM,08/Sep/21 6:30 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000lz:,,AF Sprint 1,,,,,,,,Done
"Verify ""Fax"" and ""Tracking code"" field values appears the same as while creation of record on during modification by default .",AF-74,10102,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:47 AM,08/Sep/21 6:23 PM,08/Sep/21 6:02 AM,08/Sep/21 6:23 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000lr:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Telephone"" number should be saved and the changed value are reflected in the Affiliate list.",AF-73,10101,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:45 AM,08/Sep/21 6:25 PM,08/Sep/21 5:51 AM,08/Sep/21 6:25 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000lj:,,AF Sprint 1,,,,,,,,Done
"Verify ""Telephone"" field appears the same as while creation of record on during modification by default.",AF-72,10100,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:33 AM,08/Sep/21 6:23 PM,08/Sep/21 6:01 AM,08/Sep/21 6:23 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000lb:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Email-id"" should be saved and the changed value are reflected in the Affiliate list.",AF-71,10099,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:25 AM,08/Sep/21 6:30 PM,09/Sep/21 4:56 AM,08/Sep/21 6:30 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000l3:,,AF Sprint 1,,,,,,,,Done
"Verify ""Email-ID"" present in the Affiliate list appears the same as while creation of record on during modification by default .",AF-70,10098,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 5:19 AM,08/Sep/21 6:24 PM,08/Sep/21 6:01 AM,08/Sep/21 6:24 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000kv:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""First name"" and ""Last name"" should be saved and the changed value are reflected in the Affiliate list.",AF-69,10097,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 4:52 AM,08/Sep/21 6:29 PM,09/Sep/21 4:56 AM,08/Sep/21 6:29 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000kn:,,AF Sprint 1,,,,,,,,Done
